13:58:24:228 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
13:58:25:533 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
13:58:46:244 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
13:59:38:414 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** completed TC_002_verifyCenter********
14:01:29:657 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:01:29:661 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:01:32:927 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:01:38:292 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:02:00:988 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:02:02:485 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
14:02:04:570 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
14:03:01:200 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:03:01:204 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:03:04:600 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:03:04:610 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:03:17:088 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:03:33:711 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:03:33:715 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:03:37:070 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:03:40:564 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:03:58:853 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:04:01:867 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
14:04:04:206 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
